Arredamenti - Vendita al Dettaglio;Arredamenti Balducci (S.n.c.);Via Monfalcone XX,;33052;CERVIGNANO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0431-324XX;45.81XXX 13.3XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredamenti Chiapolino "la Tua Casa la Mia Casa";Viale San Giorgio XX,;33081;AVIANO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6512XX;46.07XXX 12.5XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredamenti Continuita';Via Caboto G. e S., XX,;34147;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-24552XX;45.XXX 13.8XXX;info@federweb.com;
Poltrone e Divani - Vendita al Dettaglio        Arredamenti - Vendita al Dettaglio;Arredamenti e Mobili Balducci;Via Monfalcone, X,;33052;CERVIGNANO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0431-324XX;45.81XXX 13.35XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredamenti Essegi S.n.c. di g. Santarossa & c.;Viale s. Giovanni del Tempio XX/I,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-7356XX;45.96XXX 12.52XXX;info@federweb.com;
Tappezzieri - Forniture        Arredamenti - Vendita al Dettaglio;Arredamenti Fracas di Fracas Valter & c. s.a.s.;Via Colombera, XX,;33080;PORCIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9214XX;45.95XXX 12.61XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredamenti Lanza;Snc, Strada Statale XXX Bivio di Prosecco, Stazione di Prosecco;34010;SGONICO ;(TS) ;    FRIULI VENEZIA GIULIA;040-2254XX;45.71XXX 13.75XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredamenti Luciano di Andrea di Bert & c. s.a.s.;Via Udine XX/D,;34072;GRADISCA D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-9561XX;45.8XXX 13.48XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredamenti Luciano di Andrea di Bert & c. Sas;Viale Miramare XX,;34135;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-4144XX;45.65XXX 13.77XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredamenti Marano di Marano Pierluigi;Via Lignano X,;33033;CODROIPO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9063XX;45.94XXX 12.97XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredamenti Moro s.a.s. di Moro Ranieri & c.;Piazza iv Novembre XX,;33079;SESTO AL REGHENA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6883XX;45.86XXX 12.86XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredamenti Neziosi s.a.s.;Via Pordenone XXX, San Giovanni;33070;POLCENIGO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6278XX;46.01XXX 12.51XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredamenti Neziosi s.a.s. di Santarossa Annamaria e c.;Viale Lacchin Giuseppe XX,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-656XX;45.95XXX 12.49XXX;info@federweb.com;
Mobili Rustici - Vendita al Dettaglio;Arredamenti Rigo Ornella;Via Caliselle, X,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-762XX;45.91XXX 12XXX;info@federweb.com;
Reti per Letti        Arredamenti - Vendita al Dettaglio;Arredamenti Riviera;Strada Statale Pontebbana, XX,;33010;MAGNANO IN RIVIERA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7852XX;46.21XXX 13.18XXX;info@federweb.com;
Mobili - Vendita al Dettaglio        Arredamenti - Vendita al Dettaglio;Arredamenti Sartori;Via Giulia, XXX,;34126;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-555XX;45.65XXX 13.79XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredamenti Tonello Mario Snc;Via Xxix Ottobre XX, Basagliapenta;33031;BASILIANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-840XX;45.99XXX 13.08XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredamenti Tonello Mario Snc;Via Xxix Ottobre XX, Basagliapenta;33031;BASILIANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5041XX;45.99XXX 13.08XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredamenti Zoffi;Via iv Novembre X,;33033;CODROIPO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9065XX;45.96XXX 12.97XXX;info@federweb.com;
Abbigliamento - Vendita al Dettaglio;Arredamenti Zoffi di Zoffi Giovanni;Via Italia XX,;33033;CODROIPO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9122XX;45.96XXX 12.97XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredamenti-Falegnameria Stopar S.n.c. di Robert Stopar & c.;Via s. Cilino XX,;34128;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-57087XX;45.65XXX 13.80XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredamenti-Pohištvo Kralj Srl;Via Carsia, XX,;34151;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-2135XX;45.68XXX 13.77XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredando;Via Delfino Giovanni X,;33078;SAN VITO AL TAGLIAMENTO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-8798XX;45.91XXX 12.85XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredo Italiana;Via IV Novembre, XX,;33048;SAN GIOVANNI AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7583XX;45.95XXX 13.41XXX;info@federweb.com;
Tappezzerie in Stoffa, Plastica e Pelle        Arredamenti - Vendita al Dettaglio;Arredo Moquettes;Via Arrigo Boito, XX,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-7900XX;45.80XXX 13.54XXX;info@federweb.com;
Porfidi e Pietre per Pavimenti e Rivestimenti;Arredo Porfido;Via Latteria, XX/X,;33010;MAGNANO IN RIVIERA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7930XX;46.21XXX 13.184XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredocasa in di Gava Roberto & c. s.a.s.;Casali Bragagnon X,;33056;PALAZZOLO DELLO STELLA ;(UD) ;    FRIULI VENEZIA GIULIA;0431-5887XX;45.79XXX 13.0XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Art Design Mobili Arredamento;Via Veneto XXX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-15737XX;46.03XXX 13.25XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Artelegno S.r.l.;Via Brasil X,;33028;TOLMEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-4661XX;46.38XXX 13.02XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Artelegno S.r.l.;Via Grialba X,;33028;TOLMEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-4661XX;46.39XXX 13.0XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Artelegno Srl;Via Matteotti Giacomo XX,;33028;TOLMEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-4661XX;46.4XXX 13.01XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Artform Arredamenti Sas;Via Gatteri Giuseppe Lorenzo XX,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-6333XX;45.64XXX 13.78XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Artidea di Adami Rita;Via Grialba XX,;33028;TOLMEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-28XX;46.39XXX 13.03XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Artidea di Adami Rita;Via Grialba XX,;33028;TOLMEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-28XX;46.39XXX 13.03XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Artigian Mobili;Via Dell' Artigiano, X,;33047;REMANZACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6671XX;46.07XXX 13.33XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Athena Interni Srl;Viale San Marco XX,;33057;PALMANOVA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-14842XX;45.9XXX 13.29XXX;info@federweb.com;
Arredamenti ed Architettura d'Interni        Mobili - Vendita al Dettaglio;Atrio Interni Progettati;Via Cesare Augusto Colombo, XX,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-405XX;45.80XXX 13.55XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Av di Visintin a.;Via s. Giovanni di Livenza XX/D, San Giovanni di Livenza;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-7685XX;45.91XXX 12.51XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;B. e c. Interni Srl;Via Pietro Zorutti XX,;33030;CAMPOFORMIDO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6628XX;46.01XXX 13.14XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;B. e c. Interni Srl;Via Pietro Zorutti XX,;33030;CAMPOFORMIDO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6527XX;46.01XXX 13.15XXX;info@federweb.com;
Mobili - Produzione, Ingrosso;Baby Italia S.r.l.;Via Novacuzzo XX/F,;33040;PREPOTTO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7132XX;46.01XXX 13.46XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Bagatella Bruno Arredamenti;Via Minzoni Don Giovanni XX,;33084;CORDENONS ;(PN) ;    FRIULI VENEZIA GIULIA;0434-292XX;45.98XXX 12.69XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Bargain Market di Rupil Vinicio & c. s.a.s.;Via Grialba XX,;33028;TOLMEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-4686XX;46.39XXX 13.03XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Battistutta l'Arredo di Battistutta Paolo;Via Dante Alighieri XX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0431-9730XX;45.86XXX 13.36XXX;info@federweb.com;
Levigatrici e Lappatrici        Sedie e Tavoli - Vendita al Dettaglio;Bergamasco Michela;Via Monsignor Luigi Faidutti X,;33048;CHIOPRIS;VISCONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9912XX;45.9XXX 13.39XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Bergamin S.r.l.;Via Pontebbana X,;33010;MAGNANO IN RIVIERA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7919XX;46.21XXX 13.18XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Bergamin S.r.l.;Km. XXX, Strada Statale Pontebbana,;33010;MAGNANO IN RIVIERA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7919XX;46.22XXX 13.17XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Bertussi  in Casa Sas;Via Varmo XX, Rivignano;33061;RIVIGNANO TEOR ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7758XX;45.87XXX 13.0XXX;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Bi System di Bosco Ivo;Via Meretto X,;33050;TRIVIGNANO UDINESE ;(UD) ;    FRIULI VENEZIA GIULIA;335-18117XX;45.9XXX 13.33XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Bizeta Uno S.r.l.;Via Nazionale XX,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;040-6601XX;46.10XXX 13.22XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Blob Mobili di Fulvio Conte;Via Cologna XX,;34126;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-7613XX;45.65XXX 13.78XXX;info@federweb.com;
Poltrone e Divani - Produzione, Ingrosso        Poltrone e Divani - Vendita al Dettaglio;Blues di Zanitti Lida & c. S.n.c.;Via Europa Unita XX,;33019;TRICESIMO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8540XX;46.16XXX 13.21XXX;info@federweb.com;
Mobili - Vendita al Dettaglio        Arredamenti - Vendita al Dettaglio;Bolteri Mobili e Arredamenti;Via dei Fratelli Rusjan, XX,;34070;SAVOGNA D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-206XX;45.90XXX 13.61XXX;info@federweb.com;
Mobili - Vendita al Dettaglio        Arredamenti - Vendita al Dettaglio;Bonfante Mobili;Via Colombo, XX,;33037;PASIAN DI PRATO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6990XX;46.04XXX 13.19XXX;info@federweb.com;
Mobili Artistici in Stile - Vendita al Dettaglio;Bonfante Mobili d'Arte di Bonfante Mauro;Via X Novembre XX,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-4100XX;45.81XXX 13.52XXX;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Budai Sergio;Via Friuli X/A,;33050;GONARS ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9922XX;45.9XXX 13.25XXX;info@federweb.com;
Mobili Artistici in Stile - Vendita al Dettaglio;Busiol Remo;Via Vittorio Veneto XX,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6230XX;45.90XXX 12.52XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Calligaris Shop;Viale Trieste X/F,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7551XX;45.98XXX 13.37XXX;info@federweb.com;
Sedie e Tavoli - Produzione e Ingrosso        Sedie e Tavoli - Vendita al Dettaglio;Calligaris Spa;Via Braiduzza X,;33048;SAN GIOVANNI AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7465XX;45.9XXX 13.42XXX;info@federweb.com;
Sedie e Tavoli - Produzione, Ingrosso        Sedie e Tavoli - Vendita al Dettaglio;Camerotto Guido di Camerotto Stefano;Via Raffaello Sanzio, XX,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7507XX;45.97XXX 13.37XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Camponovo Arredamenti di Carli Doriano;Corso Italia XX,;34122;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-57005XX;45.64XXX 13.77XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Carlon Pierangelo;Via Pordenone X,;33081;AVIANO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6511XX;46.06XXX 12.59XXX;info@federweb.com;
Tappezzieri in Stoffa e Pelle        Arredamenti - Vendita al Dettaglio;Carpe Diem;Via Remis, XX,;33050;SAN VITO AL TORRE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9971XX;45.92XXX 13.368XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Casa & Design di Buiatti Giancarlo;Via Udine XX,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6831XX;45.98XXX 13.36XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Casa Amica Arredamenti;Via Trieste X,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0431-991XX;45.86XXX 13.36XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Casa Del Mobile S.n.c. di Notarfrancesco Mauro  c. Snc;Via Gorizia XX,;33050;GONARS ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9930XX;45.89XXX 13.24XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Casa&Design;Via Udine XX,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6831XX;45.98XXX 13.36XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Casaitalia s.a.s. di Bovolenta Franco & c.;Via Nazionale XXX,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5325XX;46.12XXX 13.22XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Casaitalia Snc di Paolo Codolo & c.;Via Nazionale XX,;33042;BUTTRIO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7551XX;46.00XXX 13.34XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Castagnotto Mario;Via Vittorio Veneto XX, Villotta;33083;CHIONS ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6300XX;45.86XXX 12.75XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Castenetto Giuseppe;Via i Maggio XX,;33010;CASSACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8814XX;46.18XXX 13.20XXX;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Cattaneo Fratelli;Via Sotto Rive X,;33048;SAN GIOVANNI AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7564XX;45.97XXX 13.41XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Cd Falegnameria di Cantarutti Davide;Via dell'Artigianato XX,;33043;CIVIDALE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7001XX;46.0XXX 13.39XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Cda S.r.l.;Corso Garibaldi Giuseppe XX,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-294XX;45.96XXX 12.65XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Centrarredo S.r.l.;Via Fiumicino X,;33082;AZZANO DECIMO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6474XX;45.9XXX 12.66XXX;info@federweb.com;
