Centri Commerciali, Supermercati e Grandi Magazzini;Zuiki c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0432-461XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Scarpe & Scarpe c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-916XX;45.8XXX 13.43XXX;info@federweb.com;
Calzature - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Scarpe & Scarpe c/o Gran Fiume Shopping;Via Maestri del Lavoro XX,;33080;FIUME VENETO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5605XX;45.94XXX 12.72XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Scarpe & Scarpe c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-17930XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Scarpe & Scarpe c/o Belforte Gran Shopping;Via g. f. Pocar X,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-7919XX;45.81XXX 13.5XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Savini c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4018XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Sarni Oro c/o Torri d'Europa;Via Italo Svevo XX,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-6375XX;45.63XXX 13.77XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Sarni Oro c/o Montedoro Shopping Center;Via Flavia di Stramare XXX,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2310XX;45.59XXX 13.80XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Sandro Ferrone c/o Palmanova Outlet;Strada Provinciale XXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8363XX;45.88XXX 13.33XXX;info@federweb.com;
Ottica, Lenti a Contatto ed Occhiali - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Salmoiraghi & Vigano' c/o Pradamano Shopping Center;Via Nazionale XXX, Lovaria;33040;PRADAMANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6717XX;46.0XXX 13.27XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Salmoiraghi & Vigano' c/o Gran Fiume Shopping;Via Maestri del Lavoro XX,;33080;FIUME VENETO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9595XX;45.94XXX 12.72XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Salmoiraghi & Vigano' c/o Friuli;Via Nazionale XXX,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5759XX;46.1XXX 13.2XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Salmoiraghi & Vigano' c/o Belforte Gran Shopping;Via g. f. Pocar X,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-7915XX;45.81XXX 13.5XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Salmoiraghi & Vigano' c/o Arcobaleno;Via Corecian XX,;33031;BASILIANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8329XX;46.0XXX 13.11XXX;info@federweb.com;
Abbigliamento - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Salewa;SpXXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8379XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;S.s.c. Societa' Sviluppo Commerciale S.r.l.;Via Nazionale XXX,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5743XX;46.1XXX 13.2XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;S.g.s. Srl;Via Roveredo XX,;33080;PORCIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5932XX;45.97XXX 12.61XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;S.g.r. Udine Srl;Viale Grigoletti Michelangelo XX,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5530XX;45.96XXX 12.64XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;S.g.r. Udine Srl;Via iv Genova XXX,;33050;POZZUOLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6692XX;45.97XXX 13.19XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;S.g.m. Distribuzione Srl c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-0XX;46.08XXX 13.17XXX;info@federweb.com;
Alimentari - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;S.g.i. Srl;Piazzale Czoernig Von Carlo X,;34170;GORIZIA ;(GO) ;    FRIULI VENEZIA GIULIA;0481-5248XX;45.92XXX 13.61XXX;info@federweb.com;
Alimentari - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;S.g.i. Srl;Via Morpurgo Edgardo X/X,;34147;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-2811XX;45.61XXX 13.82XXX;info@federweb.com;
Alimentari - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;S.g.i. Srl;Via Montorsino X/C,;34135;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-4158XX;45.66XXX 13.77XXX;info@federweb.com;
Alimentari - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;S.g.i. Srl;Via v. Giuseppe Verdi XX,;33030;CAMPOFORMIDO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5627XX;46.02XXX 13.21XXX;info@federweb.com;
Alimentari - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;S.g.i. Srl;Via v. Giuseppe Verdi XX,;33030;CAMPOFORMIDO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5615XX;46.02XXX 13.21XXX;info@federweb.com;
Alimentari - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;S.g.i. Srl;Via Roma XX,;33052;CERVIGNANO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0431-3706XX;45.XXX 13.33XXX;info@federweb.com;
Alimentari - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;S.g.i. Srl;Via v. de Zan X,;33081;AVIANO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6601XX;46.07XXX 12.59XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Russo Roberto;Largo Barriera Vecchia X,;34129;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-76007XX;45.6XXX 13.77XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Roncato c/o Palmanova Outlet;Strada Provinciale XXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0422-8378XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Romolo Srl;Via Pozzuolo XXX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-2342XX;46.04XXX 13.22XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Ro.se. di Donda Roberta & co.;Localita' Duino XX,;34011;DUINO;AURISINA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2083XX;45.77XXX 13.60XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Rivendita Sociale di Opicina;Via Alpini, XX, Villa Opicina;34016;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-2110XX;45.6XXX 13.78XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Rinascimento c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-14479XX;46.08XXX 13.17XXX;info@federweb.com;
Abbigliamento - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Rifle;SpXXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8370XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Re Sole c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4039XX;46.08XXX 13.17XXX;info@federweb.com;
Lavanderie a Secco        Centri Commerciali, Supermercati e Grandi Magazzini;Quick Wash di hu Guosheng;Via Maestri del Lavoro XX,;33080;FIUME VENETO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-4577XX;45.94XXX 12.72XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Quercini Giuliana;Via Battisti Cesare XX/A,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2713XX;45.60XXX 13.77XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Quercini Giuliana;Via del Carpineto X,;34146;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-83328XX;45.62XXX 13.79XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Pupa c/o Palmanova Outlet;Strada Provinciale XXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8379XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Punto Shop S.r.l.;Via Monfalcone XX,;33052;CERVIGNANO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0431-321XX;45.81XXX 13.35XXX;info@federweb.com;
Abbigliamento Bambini e Ragazzi        Centri Commerciali, Supermercati e Grandi Magazzini;Puma;SpXXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9328XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Pull Love c/o Pradamano Shopping Center;Via Nazionale XXX, Lovaria;33040;PRADAMANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-16980XX;46.0XXX 13.27XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Pull & Bear c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4017XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Puff Store c/o Arcobaleno;Via Corecian XX,;33031;BASILIANO ;(UD) ;    FRIULI VENEZIA GIULIA;327-28899XX;46.0XXX 13.11XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Prontotaxi c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-90601XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Profession Home c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0444-3506XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Prix;Via Circonvallazione Ovest X,;33033;CODROIPO ;(UD) ;    FRIULI VENEZIA GIULIA;XX;45.96XXX 12.9XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Prix;Via Giacomo Leopardi XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;XX;46.0XXX 13.24XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Prix;Via Cesare Battisti XX,;33029;VILLA SANTINA ;(UD) ;    FRIULI VENEZIA GIULIA;XX;46.41XXX 12.92XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Primigi c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4104XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Primadonna c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0432-16981XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Primadonna c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-16981XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Pradamano Superstore Srl;Via Pier Paolo Pasolini X,;33040;PRADAMANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6714XX;46.02XXX 13.28XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Pompea c/o Palmanova Outlet;Strada Provinciale XXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;345-75105XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Poltronesofa' c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-910XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Poltronesofa' c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-16500XX;46.08XXX 13.17XXX;info@federweb.com;
Calzature - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Pollini;SpXXX XX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8363XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Planet Sun c/o Pradamano Shopping Center;Via Nazionale XXX, Lovaria;33040;PRADAMANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6717XX;46.0XXX 13.27XXX;info@federweb.com;
Giornalai        Centri Commerciali, Supermercati e Grandi Magazzini;Piubello Guglielmo;Via Antonio Bardelli X, Torreano;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5412XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Pittarosso c/o Montedoro Shopping Center;Via Flavia di Stramare XXX,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2311XX;45.59XXX 13.80XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Pittarosso c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4029XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Pittarello c/o Torri d'Europa;Via Italo Svevo XX,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-34802XX;45.63XXX 13.77XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Pittarello c/o Meduna;Via Musile X,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5200XX;45.95XXX 12.69XXX;info@federweb.com;
Abbigliamento - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Piquadro;SpXXX XX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8379XX;45.88XXX 13.33XXX;info@federweb.com;
Abbigliamento - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Pinokkio S.r.l.;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4033XX;46.08XXX 13.17XXX;info@federweb.com;
Abbigliamento - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Pinokkio S.r.l.;Via Pocar g. f. X,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-436XX;45.81XXX 13.5XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Pinokkio c/o Gran Fiume Shopping;Via Maestri del Lavoro XX,;33080;FIUME VENETO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5642XX;45.94XXX 12.72XXX;info@federweb.com;
Alimentari - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Piccin Domenico S.n.c.;Via Gabelli Aristide XX,;33080;PORCIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-3674XX;45.96XXX 12.62XXX;info@federweb.com;
Pizzerie        Centri Commerciali, Supermercati e Grandi Magazzini;Piazza Italia;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5445XX;46.08XXX 13.17XXX;info@federweb.com;
Abbigliamento - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Piazza Italia;Localita Maranuz,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;081-31280XX;45.8XXX 13.43XXX;info@federweb.com;
Abbigliamento - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Piazza Italia;Via Italo Svevo XX,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;081-31265XX;45.63XXX 13.77XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Photo Fly c/o Belforte Gran Shopping;Via g. f. Pocar X,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-431XX;45.81XXX 13.5XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Petris m. & Pillosio m. S.n.c.;Via Camillo Conte di Panciera XX,;33080;ZOPPOLA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-971XX;45.96XXX 12.76XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Petris m. & Pillosio m. S.n.c.;Via Camillo Panciera XX,;33080;ZOPPOLA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-971XX;45.96XXX 12.76XXX;info@federweb.com;
Drogherie        Centri Commerciali, Supermercati e Grandi Magazzini;Pescheria Lorenzo;Via del Coroneo XX/X,;34133;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-34781XX;45.65XXX 13.7XXX;info@federweb.com;
