Mobili - Vendita al Dettaglio;Idea Erre Arreda Sas di Cristin Marco;Via Guglielmo Marconi ,;33030;MAJANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9475;46.18 13.06;info@federweb.com;
Mobili - Vendita al Dettaglio;Ingrosso Mobili di Budai Gianpaolo e c. Sas;Via Nazionale ,;33048;SAN GIOVANNI AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7561;45.96 13.4;info@federweb.com;
Mobili - Vendita al Dettaglio;La Casa Nella Prateria;Lugoj Timisoara Pordenone,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-2080;45.96 12.64;info@federweb.com;
Mobili - Vendita al Dettaglio;Medea S.r.l.;Via dell' Artigianato ,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6081;45.86 12.54;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobil Service Srl;Via Pigafetta Antonio ,;34147;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-47020;45.61 13.80;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilificio Fasano di di Gaspero Herman;Via Monte Nero ,;33043;CIVIDALE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7309;46.09 13.4;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilificio Pitton Gastone (S.n.c.);Via Nazionale ,;33056;PALAZZOLO DELLO STELLA ;(UD) ;    FRIULI VENEZIA GIULIA;0431-583;45.80 13.08;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Orologi Sas;Via Valcanale , Camporosso In Valcanale;33018;TARVISIO ;(UD) ;    FRIULI VENEZIA GIULIA;0428-6537;46.50 13.53;info@federweb.com;
Mobili - Vendita al Dettaglio;Punto b. S.r.l.;Via Sagree ,;33080;PRATA DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6113;45.89 12.5;info@federweb.com;
Mobili - Vendita al Dettaglio;Rc Color Snc;Via Capitolina ,;34131;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;347-43514;45.64 13.77;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Rocca Alberto;Via Boccaccio Giovanni ,;34135;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-4109;45.66 13.77;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Sbalzo su Rame di Marta Rigotti;Via dei Moreri ,;34135;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;333-21707;45.66 13.77;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Sfera s.a.s. di Andrea Turina e c.;Via dei Piccardi /a,;34141;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-93808;45.64 13.78;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Tornibel Srl;Via dei Prati ,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7502;46.02 13.39;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Urban Area S.r.l.;Via Nazionale ,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5488;46.09 13.23;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Zilio Carla;Via Carlo Alberto ,;33043;CIVIDALE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7341;46.09 13.42;info@federweb.com;
Mobili - Vendita al Dettaglio;A.g.m. Arredamenti S.r.l.;Via dei Pini ,;33054;LIGNANO SABBIADORO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-4288;45.66 13.10;info@federweb.com;
Mobili - Vendita al Dettaglio;A.g.m. S.n.c. di Enzo Racchello & Mariano Angelone;Via dei Pini ,;33054;LIGNANO SABBIADORO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-4288;45.66 13.10;info@federweb.com;
Arredamenti - Vendita al Dettaglio;A.m.a. Mobili S.r.l.;Corso Italia ,;33080;PORCIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9216;45.9 12.6;info@federweb.com;
Arredamenti - Vendita al Dettaglio;A.n.p.a. Arredamenti S.r.l.;Via Duca d'Aosta ,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-4863;45.80 13.52;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Aiazzone Arredamenti;Via Pier Paolo Pasolini ,;33040;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4091;46.07 13.2;info@federweb.com;
Mobili Giardini e Terrazzi        Mobili Artistici in Stile - Vendita al Dettaglio;Aita Legno;Via Caiu', ,;33052;CERVIGNANO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0431-318;45.81 13.32;info@federweb.com;
Mobili - Vendita al Dettaglio;Altha.it S.r.l.;Via dell' Industria ,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0431-960;45.87 13.34;info@federweb.com;
Mobili - Vendita al Dettaglio;Ambientarredo;;;;0435-4661;46.56 12.71;info@federweb.com;
Mobili - Vendita al Dettaglio;Ar.té. Arredamenti di Massimo Ferrin & c.;Viale della Liberta ,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-431;45.96 12.66;info@federweb.com;
Ceramiche per Pavimenti e Rivestimenti - Vendita al Dettaglio;Arch.e Arredo;Via Pier Paolo Pasolini, /A,;33072;CASARSA DELLA DELIZIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-8701;45.95 12.84;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredamenti Balducci (S.n.c.);Via Monfalcone ,;33052;CERVIGNANO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0431-324;45.81 13.3;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredamenti Chiapolino "la Tua Casa la Mia Casa";Viale San Giorgio ,;33081;AVIANO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6512;46.07 12.5;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredamenti Continuita';Via Caboto G. e S., ,;34147;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-24552;45. 13.8;info@federweb.com;
Poltrone e Divani - Vendita al Dettaglio        Arredamenti - Vendita al Dettaglio;Arredamenti e Mobili Balducci;Via Monfalcone, ,;33052;CERVIGNANO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0431-324;45.81 13.35;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredamenti Essegi S.n.c. di g. Santarossa & c.;Viale s. Giovanni del Tempio /I,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-7356;45.96 12.52;info@federweb.com;
Tappezzieri - Forniture        Arredamenti - Vendita al Dettaglio;Arredamenti Fracas di Fracas Valter & c. s.a.s.;Via Colombera, ,;33080;PORCIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9214;45.95 12.61;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredamenti Lanza;Snc, Strada Statale  Bivio di Prosecco, Stazione di Prosecco;34010;SGONICO ;(TS) ;    FRIULI VENEZIA GIULIA;040-2254;45.71 13.75;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredamenti Luciano di Andrea di Bert & c. s.a.s.;Via Udine /D,;34072;GRADISCA D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-9561;45.8 13.48;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredamenti Luciano di Andrea di Bert & c. Sas;Viale Miramare ,;34135;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-4144;45.65 13.77;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredamenti Marano di Marano Pierluigi;Via Lignano ,;33033;CODROIPO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9063;45.94 12.97;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredamenti Moro s.a.s. di Moro Ranieri & c.;Piazza iv Novembre ,;33079;SESTO AL REGHENA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6883;45.86 12.86;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredamenti Neziosi s.a.s.;Via Pordenone , San Giovanni;33070;POLCENIGO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6278;46.01 12.51;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredamenti Neziosi s.a.s. di Santarossa Annamaria e c.;Viale Lacchin Giuseppe ,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-656;45.95 12.49;info@federweb.com;
Mobili Rustici - Vendita al Dettaglio;Arredamenti Rigo Ornella;Via Caliselle, ,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-762;45.91 12;info@federweb.com;
Reti per Letti        Arredamenti - Vendita al Dettaglio;Arredamenti Riviera;Strada Statale Pontebbana, ,;33010;MAGNANO IN RIVIERA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7852;46.21 13.18;info@federweb.com;
Mobili - Vendita al Dettaglio        Arredamenti - Vendita al Dettaglio;Arredamenti Sartori;Via Giulia, ,;34126;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-555;45.65 13.79;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredamenti Tonello Mario Snc;Via xix Ottobre , Basagliapenta;33031;BASILIANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-840;45.99 13.08;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredamenti Tonello Mario Snc;Via xix Ottobre , Basagliapenta;33031;BASILIANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5041;45.99 13.08;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredamenti Zoffi;Via iv Novembre ,;33033;CODROIPO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9065;45.96 12.97;info@federweb.com;
Abbigliamento - Vendita al Dettaglio;Arredamenti Zoffi di Zoffi Giovanni;Via Italia ,;33033;CODROIPO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9122;45.96 12.97;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredamenti-Falegnameria Stopar S.n.c. di Robert Stopar & c.;Via s. Cilino ,;34128;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-57087;45.65 13.80;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredamenti-Pohištvo Kralj Srl;Via Carsia, ,;34151;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-2135;45.68 13.77;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredando;Via Delfino Giovanni ,;33078;SAN VITO AL TAGLIAMENTO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-8798;45.91 12.85;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Arredo Italiana;Via IV Novembre, ,;33048;SAN GIOVANNI AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7583;45.95 13.41;info@federweb.com;
Tappezzerie in Stoffa, Plastica e Pelle        Arredamenti - Vendita al Dettaglio;Arredo Moquettes;Via Arrigo Boito, ,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-7900;45.80 13.54;info@federweb.com;
Porfidi e Pietre per Pavimenti e Rivestimenti;Arredo Porfido;Via Latteria, /,;33010;MAGNANO IN RIVIERA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7930;46.21 13.184;info@federweb.com;
Mobili - Vendita al Dettaglio;Arredocasa in di Gava Roberto & c. s.a.s.;Casali Bragagnon ,;33056;PALAZZOLO DELLO STELLA ;(UD) ;    FRIULI VENEZIA GIULIA;0431-5887;45.79 13.0;info@federweb.com;
Mobili - Vendita al Dettaglio;Art Design Mobili Arredamento;Via Veneto ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-15737;46.03 13.25;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Artelegno S.r.l.;Via Brasil ,;33028;TOLMEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-4661;46.38 13.02;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Artelegno S.r.l.;Via Grialba ,;33028;TOLMEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-4661;46.39 13.0;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Artelegno Srl;Via Matteotti Giacomo ,;33028;TOLMEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-4661;46.4 13.01;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Artform Arredamenti Sas;Via Gatteri Giuseppe Lorenzo ,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-6333;45.64 13.78;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Artidea di Adami Rita;Via Grialba ,;33028;TOLMEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-28;46.39 13.03;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Artidea di Adami Rita;Via Grialba ,;33028;TOLMEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-28;46.39 13.03;info@federweb.com;
Mobili - Vendita al Dettaglio;Artigian Mobili;Via Dell' Artigiano, ,;33047;REMANZACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6671;46.07 13.33;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Athena Interni Srl;Viale San Marco ,;33057;PALMANOVA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-14842;45.9 13.29;info@federweb.com;
Arredamenti ed Architettura d'Interni        Mobili - Vendita al Dettaglio;Atrio Interni Progettati;Via Cesare Augusto Colombo, ,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-405;45.80 13.55;info@federweb.com;
Mobili - Vendita al Dettaglio;Av di Visintin a.;Via s. Giovanni di Livenza /D, San Giovanni di Livenza;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-7685;45.91 12.51;info@federweb.com;
Mobili - Vendita al Dettaglio;B. e c. Interni Srl;Via Pietro Zorutti ,;33030;CAMPOFORMIDO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6628;46.01 13.14;info@federweb.com;
Mobili - Vendita al Dettaglio;B. e c. Interni Srl;Via Pietro Zorutti ,;33030;CAMPOFORMIDO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6527;46.01 13.15;info@federweb.com;
Mobili - Produzione, Ingrosso;Baby Italia S.r.l.;Via Novacuzzo /F,;33040;PREPOTTO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7132;46.01 13.46;info@federweb.com;
Mobili - Vendita al Dettaglio;Bagatella Bruno Arredamenti;Via Minzoni Don Giovanni ,;33084;CORDENONS ;(PN) ;    FRIULI VENEZIA GIULIA;0434-292;45.98 12.69;info@federweb.com;
Mobili - Vendita al Dettaglio;Bargain Market di Rupil Vinicio & c. s.a.s.;Via Grialba ,;33028;TOLMEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-4686;46.39 13.03;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Battistutta l'Arredo di Battistutta Paolo;Via Dante Alighieri ,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0431-9730;45.86 13.36;info@federweb.com;
Levigatrici e Lappatrici        Sedie e Tavoli - Vendita al Dettaglio;Bergamasco Michela;Via Monsignor Luigi Faidutti ,;33048;CHIOPRIS;VISCONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9912;45.9 13.39;info@federweb.com;
Mobili - Vendita al Dettaglio;Bergamin S.r.l.;Via Pontebbana ,;33010;MAGNANO IN RIVIERA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7919;46.21 13.18;info@federweb.com;
Mobili - Vendita al Dettaglio;Bergamin S.r.l.;Km. , Strada Statale Pontebbana,;33010;MAGNANO IN RIVIERA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7919;46.22 13.17;info@federweb.com;
Mobili - Vendita al Dettaglio;Bertussi  in Casa Sas;Via Varmo , Rivignano;33061;RIVIGNANO TEOR ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7758;45.87 13.0;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Bi System di Bosco Ivo;Via Meretto ,;33050;TRIVIGNANO UDINESE ;(UD) ;    FRIULI VENEZIA GIULIA;335-18117;45.9 13.33;info@federweb.com;
Mobili - Vendita al Dettaglio;Bizeta Uno S.r.l.;Via Nazionale ,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;040-6601;46.10 13.22;info@federweb.com;
Mobili - Vendita al Dettaglio;Blob Mobili di Fulvio Conte;Via Cologna ,;34126;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-7613;45.65 13.78;info@federweb.com;
Poltrone e Divani - Produzione, Ingrosso        Poltrone e Divani - Vendita al Dettaglio;Blues di Zanitti Lida & c. S.n.c.;Via Europa Unita ,;33019;TRICESIMO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8540;46.16 13.21;info@federweb.com;
Mobili - Vendita al Dettaglio        Arredamenti - Vendita al Dettaglio;Bolteri Mobili e Arredamenti;Via dei Fratelli Rusjan, ,;34070;SAVOGNA D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-206;45.90 13.61;info@federweb.com;
Mobili - Vendita al Dettaglio        Arredamenti - Vendita al Dettaglio;Bonfante Mobili;Via Colombo, ,;33037;PASIAN DI PRATO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6990;46.04 13.19;info@federweb.com;
Mobili Artistici in Stile - Vendita al Dettaglio;Bonfante Mobili d'Arte di Bonfante Mauro;Via  Novembre ,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-4100;45.81 13.52;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Budai Sergio;Via Friuli /A,;33050;GONARS ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9922;45.9 13.25;info@federweb.com;
Mobili Artistici in Stile - Vendita al Dettaglio;Busiol Remo;Via Vittorio Veneto ,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6230;45.90 12.52;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Calligaris Shop;Viale Trieste /F,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7551;45.98 13.37;info@federweb.com;
Sedie e Tavoli - Produzione e Ingrosso        Sedie e Tavoli - Vendita al Dettaglio;Calligaris Spa;Via Braiduzza ,;33048;SAN GIOVANNI AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7465;45.9 13.42;info@federweb.com;
Sedie e Tavoli - Produzione, Ingrosso        Sedie e Tavoli - Vendita al Dettaglio;Camerotto Guido di Camerotto Stefano;Via Raffaello Sanzio, ,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7507;45.97 13.37;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Camponovo Arredamenti di Carli Doriano;Corso Italia ,;34122;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-57005;45.64 13.77;info@federweb.com;
Mobili - Vendita al Dettaglio;Carlon Pierangelo;Via Pordenone ,;33081;AVIANO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6511;46.06 12.59;info@federweb.com;
Tappezzieri in Stoffa e Pelle        Arredamenti - Vendita al Dettaglio;Carpe Diem;Via Remis, ,;33050;SAN VITO AL TORRE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9971;45.92 13.368;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Casa & Design di Buiatti Giancarlo;Via Udine ,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6831;45.98 13.36;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Casa Amica Arredamenti;Via Trieste ,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0431-991;45.86 13.36;info@federweb.com;
Mobili - Vendita al Dettaglio;Casa Del Mobile S.n.c. di Notarfrancesco Mauro  c. Snc;Via Gorizia ,;33050;GONARS ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9930;45.89 13.24;info@federweb.com;
Mobili - Vendita al Dettaglio;Casa&Design;Via Udine ,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6831;45.98 13.36;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Casaitalia s.a.s. di Bovolenta Franco & c.;Via Nazionale ,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5325;46.12 13.22;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Casaitalia Snc di Paolo Codolo & c.;Via Nazionale ,;33042;BUTTRIO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7551;46.00 13.34;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Castagnotto Mario;Via Vittorio Veneto , Villotta;33083;CHIONS ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6300;45.86 12.75;info@federweb.com;
Mobili - Vendita al Dettaglio;Castenetto Giuseppe;Via i Maggio ,;33010;CASSACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8814;46.18 13.20;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Cattaneo Fratelli;Via Sotto Rive ,;33048;SAN GIOVANNI AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7564;45.97 13.41;info@federweb.com;
Mobili - Vendita al Dettaglio;Cd Falegnameria di Cantarutti Davide;Via dell'Artigianato ,;33043;CIVIDALE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7001;46.0 13.39;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Cda S.r.l.;Corso Garibaldi Giuseppe ,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-294;45.96 12.65;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Centrarredo S.r.l.;Via Fiumicino ,;33082;AZZANO DECIMO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6474;45.9 12.66;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Centrarredo;Via Fiumicino Corva ,;33082;AZZANO DECIMO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6470;45.88 12.71;info@federweb.com;
Mobili - Vendita al Dettaglio;Centro Arr.ti City di Michelin Roberto & Colonello a. S.n.c.;Viale Palmanova ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6031;46.02 13.25;info@federweb.com;
Mobili - Vendita al Dettaglio;Centro Arr.ti City di Michelin Roberto & Colonello a.- s.n.c;Viale Palmanova ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5241;46.04 13.25;info@federweb.com;
Mobili - Vendita al Dettaglio;Centro Arredamenti City S.n.c. di Michelin Roberto & Colonello Antonio;Via Duca d'Aosta ,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-5323;45.80 13.52;info@federweb.com;
Mobili - Vendita al Dettaglio;Centro Arredamenti City S.n.c. di Michelin Roberto & Colonello Antonio;Viale Palmanova ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6031;46.02 13.25;info@federweb.com;
Mobili - Vendita al Dettaglio;Centro Arredamenti City S.n.c. di Michelin Roberto & Colonello Antonio;Via Brigata Casale ,;34170;GORIZIA ;(GO) ;    FRIULI VENEZIA GIULIA;0481-5323;45.94 13.61;info@federweb.com;
Mobili Rustici - Vendita al Dettaglio;Chalet;Via Valcanale , Camporosso in Valcanale;33018;TARVISIO ;(UD) ;    FRIULI VENEZIA GIULIA;348-29443;46.50 13.53;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Chalet;Villaggio Camporosso Due , Camporosso in Valcanale;33018;TARVISIO ;(UD) ;    FRIULI VENEZIA GIULIA;348-29443;46.51 13.53;info@federweb.com;
Mobili - Vendita al Dettaglio;Chateau d'ax;Via Nazionale ,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6602;46.1 13.22;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Chiapolino Ennio;Via Risorgimento ,;33020;SUTRIO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-7780;46.50 12.98;info@federweb.com;
